rank,stock_id,name,market,industry_category,signal,long_score,raw_long_score,risk_penalty,close,ret_1d,turnover,money_ma20,vol_ratio_5,intraday_pos,rsi14,macd_hist,close_vwap_diff,breakout_20d,near_limit_up,long_upper_shadow,reasons
121,6435,大中,tpex,半導體業,中性觀察,51.585769142393474,64.58576914239347,13.0,420.0,0.09947643979057585,463812520.0,579700545.95,0.3262607355533183,1.0,76.5625,6.168341237196497,0.0006931680067627788,True,True,False,接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分
122,5904,寶雅,tpex,居家生活類,中性觀察,51.453814051855446,64.45381405185545,13.0,737.0,0.02219140083217752,703287287.0,403277838.2,1.1959711046657473,0.1891891891891892,75.5,7.404001401571229,-0.00476164728397821,True,False,True,量破5日高、接近20日突破、MACD動能擴大、長上影扣分、收低於VWAP扣分
123,3707,漢磊,tpex,半導體業,中性觀察,51.409663973650815,56.409663973650815,5.0,86.3,-0.05164835164835169,3141689850.0,1915455414.05,1.1672884230491485,0.039473684210525974,53.3724340175953,-0.0703664104546915,-0.03353054758094598,False,False,False,量破5日高、RSI健康、產業相對強、收低於VWAP扣分
124,8931,大汽電,tpex,油電燃氣業,中性觀察,51.29864584935646,65.29864584935646,14.0,43.4,0.02358490566037741,5043665.0,3579381.1,1.743668541882971,0.9545454545454507,67.14285714285705,0.10659423295153617,0.008686778364542347,False,False,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
125,7712,博盛半導體,tpex,半導體業,中性觀察,51.257507050197404,65.2575070501974,14.0,213.5,0.0491400491400491,191887525.0,192040273.45,1.6891430426589846,0.6666666666666666,79.51219512195122,1.8726483175786512,0.004957206050784091,False,False,False,量破5日高、MACD動能擴大、產業相對強、流動性不足扣分
126,3035,智原,twse,半導體業,中性觀察,51.21788974002993,56.21788974002993,5.0,211.0,-0.051685393258426915,1774508585.0,2230248880.45,1.0888562813027731,0.13333333333333333,55.0,-0.3921573133845735,-0.01754975166829076,False,False,False,量破5日高、RSI健康、產業相對強、收低於VWAP扣分
127,2104,國際中橡,twse,橡膠工業,中性觀察,51.177138393100805,65.1771383931008,14.0,11.4,0.017857142857143016,136549165.0,44993080.45,1.5891042169696092,0.5,63.245033112582774,0.13859898803599896,0.0009344692807164989,True,False,False,量破5日高、接近20日突破、MACD動能擴大、RSI健康、流動性不足扣分
128,7795,長廣,twse,電子零組件業,中性觀察,51.138860544535035,57.138860544535035,6.0,666.0,0.0638977635782747,297344770.0,437197316.75,0.26392589809543077,1.0,88.97849462365592,25.49800191173378,0.02271491104417267,True,False,False,接近20日突破、收在高檔、MACD動能擴大、RSI過熱扣分
129,4139,馬光-KY,tpex,生技醫療業,中性觀察,51.03265697573036,65.03265697573036,14.0,24.75,0.0060975609756097615,1468170.0,510561.45,1.7063705108288405,1.0,53.846153846153854,0.043185694613263464,0.007299393122049969,True,False,False,接近20日突破、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
130,2754,亞洲藏壽司,tpex,觀光餐旅,中性觀察,51.010821547117615,65.01082154711762,14.0,69.9,0.021929824561403466,4462726.0,2294133.8,2.4624797525007103,0.9333333333333371,62.500000000000014,0.19026121138034402,0.004848740433537779,False,False,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
131,6239,力成,twse,半導體業,中性觀察,50.89468002950236,63.89468002950236,13.0,344.5,0.019230769230769162,15061879686.0,12414297020.15,1.5654348025358462,0.20512820512820512,56.317689530685925,-3.099209069673133,-0.019493842742145495,False,False,True,量破5日高、RSI健康、產業相對強、長上影扣分、收低於VWAP扣分
132,2484,希華,twse,電子零組件業,中性觀察,50.826687476904524,55.826687476904524,5.0,95.8,-0.006224066390041583,7701837514.0,4002848047.6,1.2314792973772013,0.37931034482758597,67.88553259141494,2.1521705018623996,-0.004833009360732166,False,False,False,MACD動能擴大、RSI健康、收低於VWAP扣分
133,7751,竑騰,tpex,半導體業,中性觀察,50.80890199655527,63.80890199655527,13.0,1505.0,0.04513888888888884,574808155.0,398194287.0,1.9286787496076143,0.5,60.747663551401864,21.974929292105557,-0.005834355290244564,False,False,True,量破5日高、MACD動能擴大、RSI健康、產業相對強、長上影扣分、收低於VWAP扣分
134,1409,新纖,twse,紡織纖維,中性觀察,50.78681291089422,59.78681291089422,9.0,30.25,-0.024193548387096753,4573895432.0,987007722.4,2.4903898493079146,0.1630434782608695,64.03508771929825,0.03885245067509935,-0.03959875563241777,False,False,False,量破5日高、MACD動能擴大、RSI健康、收低於VWAP扣分
135,2305,全友,twse,電腦及週邊設備業,中性觀察,50.71507614213198,73.71507614213198,23.0,42.65,0.09922680412371143,121363553.0,196441034.15,1.5078651694814529,1.0,80.77709611451944,0.3262708128586045,0.011145808330117024,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分、流動性不足扣分
136,6968,萬達寵物,tpex,居家生活類,中性觀察,50.714252679075045,64.71425267907505,14.0,44.45,0.048349056603773644,8988000.0,2562512.85,2.8332293443145735,0.9666666666666686,50.86206896551725,0.08183516510268862,0.010564914330218222,False,False,False,量破5日高、收在高檔、MACD動能擴大、RSI健康、流動性不足扣分
137,2248,華勝-KY,twse,汽車工業,中性觀察,50.69944162436548,64.69944162436548,14.0,58.9,0.027923211169284423,8592287.0,3250256.25,1.8504495618194925,0.5925925925925924,68.25396825396824,0.24605799837742637,0.0030762706134002116,True,False,False,量破5日高、接近20日突破、MACD動能擴大、流動性不足扣分
138,3625,西勝,tpex,電腦及週邊設備業,中性觀察,50.69686373783749,73.69686373783749,23.0,18.4,0.09850746268656718,44654845.0,9033720.85,3.1265926000150306,1.0,75.23809523809523,0.1805602958953707,0.028561303930178195,True,True,False,量破5日高、接近20日突破、收在高檔、MACD動能擴大、產業相對強、近漲停過熱扣分、流動性不足扣分
139,2542,興富發,twse,建材營造,中性觀察,50.67206320206509,50.67206320206509,0.0,45.0,0.030927835051546504,588304161.0,751266641.75,1.1713173234727694,1.0,47.23926380368096,-0.07159391744606869,0.009031159988684756,False,False,False,收在高檔、RSI健康
140,2301,光寶科,twse,電腦及週邊設備業,中性觀察,50.67182961818583,63.67182961818583,13.0,224.0,0.022831050228310446,5727772197.0,6103541355.3,1.2724816268565113,0.17391304347826086,59.53757225433526,-0.03201693448286003,-0.016353377504967903,False,False,True,量破5日高、RSI健康、產業相對強、長上影扣分、收低於VWAP扣分
